,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title
0,0.124,0.106,0,-22.245,0,0.0394,0.972,0.919,0.0802,0.0456,78.658,audio_features,7fcDQg8prLdJwim6Ey7neB,spotify:track:7fcDQg8prLdJwim6Ey7neB,https://api.spotify.com/v1/tracks/7fcDQg8prLdJwim6Ey7neB,https://api.spotify.com/v1/audio-analysis/7fcDQg8prLdJwim6Ey7neB,599653,4,"Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato"
1,0.138,0.0967,4,-22.356,1,0.0386,0.973,0.919,0.0605,0.0384,65.605,audio_features,49ow4D5a5BuIn5bZ2tggip,spotify:track:49ow4D5a5BuIn5bZ2tggip,https://api.spotify.com/v1/tracks/49ow4D5a5BuIn5bZ2tggip,https://api.spotify.com/v1/audio-analysis/49ow4D5a5BuIn5bZ2tggip,625680,4,"Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto"
2,0.343,0.0342,8,-25.591,1,0.0406,0.991,0.92,0.1,0.0378,60.228,audio_features,6GzMz3s0K1YKwRVI36CgRx,spotify:track:6GzMz3s0K1YKwRVI36CgRx,https://api.spotify.com/v1/tracks/6GzMz3s0K1YKwRVI36CgRx,https://api.spotify.com/v1/audio-analysis/6GzMz3s0K1YKwRVI36CgRx,270000,3,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major"
3,0.271,0.0775,2,-24.808,1,0.04,0.987,0.917,0.0839,0.038,111.647,audio_features,2Ylzn6qkN5YgCCNbMLwnXM,spotify:track:2Ylzn6qkN5YgCCNbMLwnXM,https://api.spotify.com/v1/tracks/2Ylzn6qkN5YgCCNbMLwnXM,https://api.spotify.com/v1/audio-analysis/2Ylzn6qkN5YgCCNbMLwnXM,336600,4,"Piano Concerto No. 1 in F-Sharp Minor, Op. 1: II. Andante"
4,0.455,0.0254,3,-26.282,1,0.0442,0.99,0.914,0.126,0.104,131.983,audio_features,2FRnxuLDZ4vSdvER2Xzrv2,spotify:track:2FRnxuLDZ4vSdvER2Xzrv2,https://api.spotify.com/v1/tracks/2FRnxuLDZ4vSdvER2Xzrv2,https://api.spotify.com/v1/audio-analysis/2FRnxuLDZ4vSdvER2Xzrv2,304267,4,"Chopin: Nocturne No. 2 in E-Flat Major, Op. 9 No. 2"
5,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,audio_features,3DNRdudZ2SstnDCVKFdXxG,spotify:track:3DNRdudZ2SstnDCVKFdXxG,https://api.spotify.com/v1/tracks/3DNRdudZ2SstnDCVKFdXxG,https://api.spotify.com/v1/audio-analysis/3DNRdudZ2SstnDCVKFdXxG,315427,3,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto"
6,0.28,0.287,8,-22.167,0,0.0367,0.931,0.888,0.0762,0.509,87.953,audio_features,2Hnurh1BcigGbCGFOb4Uid,spotify:track:2Hnurh1BcigGbCGFOb4Uid,https://api.spotify.com/v1/tracks/2Hnurh1BcigGbCGFOb4Uid,https://api.spotify.com/v1/audio-analysis/2Hnurh1BcigGbCGFOb4Uid,287987,4,"La campanella in G-Sharp Minor (From ""Grandes études de Paganini"", S. 141 / 3)"
7,0.311,0.0075,2,-30.619,1,0.0397,0.994,0.943,0.0877,0.0387,68.138,audio_features,1Fye8VOMOlXxtBo02TpNWD,spotify:track:1Fye8VOMOlXxtBo02TpNWD,https://api.spotify.com/v1/tracks/1Fye8VOMOlXxtBo02TpNWD,https://api.spotify.com/v1/audio-analysis/1Fye8VOMOlXxtBo02TpNWD,375920,3,"Ständchen (From Schwanengesang, D957)"
8,0.537,0.0128,1,-23.266,0,0.0575,0.996,0.927,0.145,0.0841,132.804,audio_features,7qSq4zxpPCk5TmktwPpsnR,spotify:track:7qSq4zxpPCk5TmktwPpsnR,https://api.spotify.com/v1/tracks/7qSq4zxpPCk5TmktwPpsnR,https://api.spotify.com/v1/audio-analysis/7qSq4zxpPCk5TmktwPpsnR,203493,4,"Etude in C-Sharp Minor, Op. 2, No. 1"
9,0.25,0.162,7,-19.951,0,0.0452,0.99,0.892,0.0421,0.0718,60.278,audio_features,7cphIsj0ZUZOMA770gSU47,spotify:track:7cphIsj0ZUZOMA770gSU47,https://api.spotify.com/v1/tracks/7cphIsj0ZUZOMA770gSU47,https://api.spotify.com/v1/audio-analysis/7cphIsj0ZUZOMA770gSU47,562507,4,"Ballade No. 1 In G Minor, Op. 23"
10,0.295,0.0363,1,-25.695,0,0.0445,0.991,0.875,0.0924,0.124,67.38,audio_features,2pDOy9QRebhLcOpjHglcV6,spotify:track:2pDOy9QRebhLcOpjHglcV6,https://api.spotify.com/v1/tracks/2pDOy9QRebhLcOpjHglcV6,https://api.spotify.com/v1/audio-analysis/2pDOy9QRebhLcOpjHglcV6,246827,4,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth."
